"Class? (MATH 143, PSY 202, etc)",Book Title,Book Author,Edition,Link,ISBN
BMED 410,Solns Introductory Biomechanics,,,https://drive.google.com/file/d/1nx_jEkMGlCJz8AlTmbTH02dnqx5vlLzb/view?usp=sharing,
BMED 425,Basic Transport Phenomena In Biomedical Engineering,Ronald L. Fournier,3,https://drive.google.com/open?id=18YYyuqDfplQIkbX93WWBo4kK_4ywMRup,
BMED 434,,,,https://drive.google.com/file/d/1zfSzkD4XKi19eW4SR-vDJ4YYF3bmKHmH/view?usp=sharing,
BMED 525,Skeletal Tissue Mechanics,"Bruce Martin, David B. Burr, Neil A. Sharkey, and David P. Fyhrie.",2,https://drive.google.com/open?id=1HWl0vB-zMjBar1tEleEaoExWzalxk7eB,9781493930012
BMED 530,Biomaterials The Intersection of Biology and Materials Science,J. S. Temenoff,1st,https://1lib.us/book/5440019/3e580c,9780130097101
BMED/CE/ME 404,The Finite Element Method: Linear Static and Dynamic Finite Element Analysis,Thomas J. R. Hughes,,https://drive.google.com/open?id=16lruNUo8vinNEwJHmtTY4RbtFqyYuo-8,
BOT 121,Botany: An Introduction to Plant Biology,James D. Mauseth,6th,https://b-ok.cc/dl/3413440/acf463,
BOT 121,Botany: An Introduction to Plant Biology,James D. Mauseth,6th,https://b-ok.cc/book/5424628/5d4a4a,
BOT 121,Botany: An Introduction to Plant Biology,James D. Mauseth,6th,https://drive.google.com/file/d/1q6_yIEMab2uwDXwvZOrucTMU7qWADbBv/view?usp=sharing,
BOT 121,Plant Biology Lab Manual,"Matt Ritter, Ph.D.",2,https://drive.google.com/open?id=1M4lH_J3RCbJ1qLCEi43KeLeKL3xXujT4,
BOT 121-01,Botany: An Introduction to Plant Biology,"James D. Mauseth, Jones and Bartlett Learning",6th Edition,http://www.mediafire.com/file/ia4o9j8jbm6bwjs/,
BRAE 121,Agricultural Mechanics Fundamentals and Applications 7th Edition,Ray V. Herren,7,https://drive.google.com/open?id=1TguTE_OMYiHk9ioDWfCBGktjziZqNRAT,
BRAE 239,survey principles and applications,Barry Kavangh and Tom Mastin,9,https://drive.google.com/open?id=1CfWhWOm2PNWebKRlA5IaLSnaOM_HRmWd,
BRAE 348,Energy It's Use and the Environment,Hinrichs Klienbach,5th,https://drive.google.com/file/d/1krGKH4Duo4JYfFflcSH6xvS5Kn0kh70i/view?usp=sharing,9781111990831
BRAE-345,Remote Sensing and Image Interpretation,"Lillesand, Kiefer, Chipman",7th,https://www.geokniga.org/bookfiles/geokniga-remote-sensing-and-image-interpretation.pdf,9781119128465
Bus 207,Dynamic Business Law: The Essentials,"Nancy Kubasek,M. Neil Browne,Daniel Herron,Lucien Dhooge,Linda Barkacs,Andrea Giampetro-Meyer",6,https://drive.google.com/open?id=1h7jenQ6lhX53jmSCQpQ4UBHki87h3ZXA,9781265599379
BUS 207,The Legal Environment of Business,Frank Cross,10,https://drive.google.com/open?id=1XiJTKvd3aM4dGH9OX2-3QfXmnLWa54HP,9781305967304
BUS 207,The Legal Environment of Business,"Cross, Miller",10,https://drive.google.com/file/d/1b-PQrkHNmZXa33Z75n5nw62KkJ4TEIQJ/view?usp=sharing,9781305967304
BUS 214,Financial Accounting,"Harrison, Horngren, Thomas, Tietz",11,https://drive.google.com/open?id=1kBU3xv_NH9iCR3SZ1A38KyZZakAhS0FI,
BUS 214,Financial Accounting SOLUTION MANUAL,"Harrison, Horngren, Thomas, Tietz",11,https://drive.google.com/file/d/1y_qryUPQmz2-q5Ky-gRYpFB2H-9UODYV/view?usp=sharing,
BUS 215,Managerial Accounting,"Garrison, Noreen, Brewer",16,https://drive.google.com/file/d/11Nq7KJC0RNxq5Ivc6XDia0l3TmuJLyzi/view,
BUS 301,Multinational Business Finance,"Eiteman, Stonehill, Moffett",14th,https://drive.google.com/file/d/13E-xPMJEsQmX_j46Kq8ftoXcKGDXE2bW/view?usp=sharing,
BUS 321 & BUS 322,Intermediate Accounting,David Spiceland,9th,https://drive.google.com/file/d/1oFQXQqGZwsPFFx0ty8RhBwJekw0ecBMy/view?usp=sharing,
Bus 342,Fundamentals of Financial Management,Brigham and Houston,9th,http://93.174.95.29/_ads/CCDDEE8B3C31AF1CD4EDDAEC333B1A69,
BUS 346,M-Marketing,"grewal, levy",5th,https://drive.google.com/open?id=1K-5jjyshkitqz5hdh94I21ZsvowmO4M4,
BUS 346,M Marketing,"Grewal, Levy",5,https://drive.google.com/open?id=1sCaxKqwP7Y8b1zi4PdBuYw__fEo0HHHi,
BUS 346,M-Marketing,Grewal/Levy,6,https://drive.google.com/open?id=13xQGKOCEueVhD2ClNe_NgEIVUe0U8Px8,
BUS 387,Organizational Behavior: Bridging Science and Practice Version 4.0,talya bauer and berrin erdogan,4,https://b-ok.cc/book/21423841/27f084,
BUS 387,"Essentials of Organizational Behavior, 15th Edition",Stephen P. Robbins and Timothy A. Judge,15,https://drive.google.com/file/d/1Yl5AkYsk_l2ttHlJWRbC8JjvktoUB8DN/view?usp=sharing,
BUS 387,"Organizational Behavior: Bridging Science and Practice, 4th Ed, 2021. (Flatworld).","Tayla Bauer and Berrin Erdogan,",Version 4.0,https://studylib.net/doc/26023854/organizational-behavior,
BUS 387,Organizational Behavior: Bridging Science and Practice,Talya Bauer and Berrin Erdogan,4,https://drive.google.com/open?id=1u8dPUuuCqYLM4C-y8WZLvWNwUfuHJR5W,
BUS 387,Organizational Behavior: Bridging Science and Practice,Talya Bauer and Berrin Erdogan,4,https://drive.google.com/open?id=19RERIr_YYaT811t1jaO6eIO9LRYBeTKP,
BUS 387,Reframing Organizations,Bolman & Deal,6,https://drive.google.com/open?id=1mmvTEeZ5QG7bdw04hUELMZ2wgO9UAoDc,9781119281825
